,Moyenne,Médiane,Mode,Écart-type,Écart absolu moyen,Étendue,Distance interquartile,Distance interdécile
Inscrits,455587.6261682243,366859.0,5045.0,351003.7839272608,272240.716394445,1808861.0,401050.0,793988.8000000002
Abstentions,119852.04672897197,95369.0,2272.0,117017.79777076835,74959.06961306663,929183.0,106489.0,193676.2
Votants,335735.5794392523,274372.0,2773.0,258393.8062439694,201517.17128133465,1297100.0,301770.5,602687.2
Blancs,5080.457943925234,4001.0,4577.0,3492.5237409016668,2817.951262118962,17389.0,4852.5,8845.800000000003
Nuls,2309.822429906542,2039.0,17.0,1501.382870814494,1131.9931871779193,8236.0,1917.0,3240.5999999999995
Exprimés,328345.2990654206,268568.0,2701.0,253758.57811511328,197762.19512621194,1272080.0,296870.5,590169.2000000001
Voix,1842.0,1627.0,1203.0,1268.3719545521099,977.3644859813085,7651.0,1517.5,3015.6000000000004
Voix.1,7499.271028037383,5968.0,19.0,6501.29125718549,4474.964800419248,45883.0,6264.5,13104.199999999999
Voix.2,91430.44859813084,67831.0,534.0,77226.14228932584,59929.14315660754,372286.0,101317.0,177340.2
Voix.3,10293.336448598131,8944.0,17010.0,7464.322239125802,5140.371386147263,48168.0,7999.5,13813.000000000004
Voix.4,76017.08411214953,64543.0,459.0,60278.09642925337,42514.7158703817,372668.0,63342.0,130094.6
Voix.5,23226.41121495327,16885.0,9657.0,20760.601914399664,15278.362127696748,108537.0,20638.5,43668.80000000002
Voix.6,72079.6261682243,51556.0,501.0,66210.6824497581,49157.01318892481,316871.0,60743.5,159421.20000000004
Voix.7,5761.476635514019,4881.0,75.0,4581.7903836526575,3333.3356625032743,22826.0,4779.0,10712.2
Voix.8,15213.579439252337,9561.0,72.0,14807.61922823019,11136.568259236617,80196.0,14833.5,38190.8
Voix.9,15691.598130841121,11918.0,51.0,13027.130015862478,9432.008909075032,69513.0,13265.5,27686.800000000007
Voix.10,2513.121495327103,2118.0,3663.0,1781.4104371191352,1404.5004803913002,8686.0,2466.0,4266.6
Voix.11,6777.345794392523,6152.0,7271.0,4636.019283220522,3689.4970739802598,20535.0,6146.5,12311.0
